name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 8","Từ vựng","488","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","489","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","490","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","491","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","492","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","493","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson10,'}}"
"","","","","","","","","","Bài 11","Từ vựng","494","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","495","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson11,'}}"
"","","","","","","","","","Bài 12","Từ vựng","496","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","497","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson12,'}}"
"","","","","","","","","","Bài 13","Từ vựng","498","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","499","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","500","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","501","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","502","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","503","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","504","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","505","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","506","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","507","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","508","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","509","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","510","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","511","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","512","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","513","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","514","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","515","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","516","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","517","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","518","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","519","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson23,'}}"
"","","","","","","","","","Bài 24","Từ vựng","520","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","521","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson24,'}}"
"","","","","","","","","","Bài 25","Từ vựng","522","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","523","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson25,'}}"
"","","","","","","","","","Bài 26","Từ vựng","524","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","525","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson26,'}}"
"","","","","","","","","","Bài 27","Từ vựng","526","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","527","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson27,'}}"
"","","","","","","","","","Bài 28","Từ vựng","528","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","529","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson28,'}}"
"","","","","","","","","","Bài 29","Từ vựng","530","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","531","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson29,'}}"
"","","","","","","","","","Bài 30","Từ vựng","532","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","533","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson30,'}}"
"","","","","","","","","","Bài 31","Từ vựng","534","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","535","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson31,'}}"
"","","","","","","","","","Bài 32","Từ vựng","536","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","537","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson32,'}}"
"","","","","","","","","","Bài 33","Từ vựng","538","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","539","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson33,'}}"
"","","","","","","","","","Bài 34","Từ vựng","540","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","541","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson34,'}}"
"","","","","","","","","","Bài 35","Từ vựng","542","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson35,'}}"
"","","","","","","","","","Bài 35","Luyện tập","543","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson35,'}}"
"","","","","","","","","","Bài 36","Từ vựng","544","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","545","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson36,'}}"
"","","","","","","","","","Bài 37","Từ vựng","546","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson37,'}}"
"","","","","","","","","","Bài 37","Luyện tập","547","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson37,'}}"
"","","","","","","","","","Bài 38","Từ vựng","548","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson38,'}}"
"","","","","","","","","","Bài 38","Luyện tập","549","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson38,'}}"
"","","","","","","","","","Bài 39","Từ vựng","550","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson39,'}}"
"","","","","","","","","","Bài 39","Luyện tập","551","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson39,'}}"
"","","","","","","","","","Bài 40","Từ vựng","552","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson40,'}}"
"","","","","","","","","","Bài 40","Luyện tập","553","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary1,lesson40,'}}"
"Bộ từ vựng N3 tập 2","Bộ từ vựng N3  được sắp xếp theo thứ tự phát âm phần 2  từ   か ～ こ","vocabulary","N3","3101","45","45","","","Bài 1","Từ vựng","554","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","555","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson1,'}}"
"","","","","","","","","","Bài 2","Từ vựng","556","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","557","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson2,'}}"
"","","","","","","","","","Bài 3","Từ vựng","558","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","559","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson3,'}}"
"","","","","","","","","","Bài 4","Từ vựng","560","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","561","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson4,'}}"
"","","","","","","","","","Bài 5","Từ vựng","562","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","563","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson5,'}}"
"","","","","","","","","","Bài 6","Từ vựng","564","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","565","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson6,'}}"
"","","","","","","","","","Bài 7","Từ vựng","566","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","567","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson7,'}}"
"","","","","","","","","","Bài 8","Từ vựng","568","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","569","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","570","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","571","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","572","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson10,'}}"
"","","","","","","","","","Bài 10","Luyện tập","573","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson10,'}}"
"","","","","","","","","","Bài 11","Từ vựng","574","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson11,'}}"
"","","","","","","","","","Bài 11","Luyện tập","575","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson11,'}}"
"","","","","","","","","","Bài 12","Từ vựng","576","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson12,'}}"
"","","","","","","","","","Bài 12","Luyện tập","577","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson12,'}}"
"","","","","","","","","","Bài 13","Từ vựng","578","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson13,'}}"
"","","","","","","","","","Bài 13","Luyện tập","579","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","580","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","581","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","582","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","583","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","584","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","585","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","586","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","587","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","588","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","589","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","590","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","591","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","592","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","593","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","594","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","595","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","596","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","597","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","598","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","599","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson23,'}}"
"","","","","","","","","","Bài 24","Từ vựng","600","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","601","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson24,'}}"
"","","","","","","","","","Bài 25","Từ vựng","602","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson25,'}}"
"","","","","","","","","","Bài 25","Luyện tập","603","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson25,'}}"
"","","","","","","","","","Bài 26","Từ vựng","604","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson26,'}}"
"","","","","","","","","","Bài 26","Luyện tập","605","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson26,'}}"
"","","","","","","","","","Bài 27","Từ vựng","606","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson27,'}}"
"","","","","","","","","","Bài 27","Luyện tập","607","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson27,'}}"
"","","","","","","","","","Bài 28","Từ vựng","608","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson28,'}}"
"","","","","","","","","","Bài 28","Luyện tập","609","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson28,'}}"
"","","","","","","","","","Bài 29","Từ vựng","610","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson29,'}}"
"","","","","","","","","","Bài 29","Luyện tập","611","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson29,'}}"
"","","","","","","","","","Bài 30","Từ vựng","612","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson30,'}}"
"","","","","","","","","","Bài 30","Luyện tập","613","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson30,'}}"
"","","","","","","","","","Bài 31","Từ vựng","614","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson31,'}}"
"","","","","","","","","","Bài 31","Luyện tập","615","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson31,'}}"
"","","","","","","","","","Bài 32","Từ vựng","616","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson32,'}}"
"","","","","","","","","","Bài 32","Luyện tập","617","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson32,'}}"
"","","","","","","","","","Bài 33","Từ vựng","618","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson33,'}}"
"","","","","","","","","","Bài 33","Luyện tập","619","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson33,'}}"
"","","","","","","","","","Bài 34","Từ vựng","620","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson34,'}}"
"","","","","","","","","","Bài 34","Luyện tập","621","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson34,'}}"
"","","","","","","","","","Bài 35","Từ vựng","622","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson35,'}}"
"","","","","","","","","","Bài 35","Luyện tập","623","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson35,'}}"
"","","","","","","","","","Bài 36","Từ vựng","624","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson36,'}}"
"","","","","","","","","","Bài 36","Luyện tập","625","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson36,'}}"
"","","","","","","","","","Bài 37","Từ vựng","626","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson37,'}}"
"","","","","","","","","","Bài 37","Luyện tập","627","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson37,'}}"
"","","","","","","","","","Bài 38","Từ vựng","628","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson38,'}}"
"","","","","","","","","","Bài 38","Luyện tập","629","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson38,'}}"
"","","","","","","","","","Bài 39","Từ vựng","630","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson39,'}}"
"","","","","","","","","","Bài 39","Luyện tập","631","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson39,'}}"
"","","","","","","","","","Bài 40","Từ vựng","632","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson40,'}}"
"","","","","","","","","","Bài 40","Luyện tập","633","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson40,'}}"
"","","","","","","","","","Bài 41","Từ vựng","634","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson41,'}}"
"","","","","","","","","","Bài 41","Luyện tập","635","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson41,'}}"
"","","","","","","","","","Bài 42","Từ vựng","636","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson42,'}}"
"","","","","","","","","","Bài 42","Luyện tập","637","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson42,'}}"
"","","","","","","","","","Bài 43","Từ vựng","638","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson43,'}}"
"","","","","","","","","","Bài 43","Luyện tập","639","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson43,'}}"
"","","","","","","","","","Bài 44","Từ vựng","640","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson44,'}}"
"","","","","","","","","","Bài 44","Luyện tập","641","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson44,'}}"
"","","","","","","","","","Bài 45","Từ vựng","642","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson45,'}}"
"","","","","","","","","","Bài 45","Luyện tập","643","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary2,lesson45,'}}"
"Bộ từ vựng N3 tập 3","Bộ từ vựng N3  được sắp xếp theo thứ tự phát âm phần 3  từ さ ～そ","vocabulary","N3","3102","45","45","1","1","Bài 1","Từ vựng","644","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson1,'}}"
"","","","","","","","","","Bài 1","Luyện tập","645","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson1,'}}"
"","","","","","","","","","Bài 2","Từ vựng","646","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson2,'}}"
"","","","","","","","","","Bài 2","Luyện tập","647","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson2,'}}"
"","","","","","","","","","Bài 3","Từ vựng","648","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson3,'}}"
"","","","","","","","","","Bài 3","Luyện tập","649","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson3,'}}"
"","","","","","","","","","Bài 4","Từ vựng","650","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson4,'}}"
"","","","","","","","","","Bài 4","Luyện tập","651","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson4,'}}"
"","","","","","","","","","Bài 5","Từ vựng","652","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson5,'}}"
"","","","","","","","","","Bài 5","Luyện tập","653","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson5,'}}"
"","","","","","","","","","Bài 6","Từ vựng","654","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson6,'}}"
"","","","","","","","","","Bài 6","Luyện tập","655","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson6,'}}"
"","","","","","","","","","Bài 7","Từ vựng","656","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson7,'}}"
"","","","","","","","","","Bài 7","Luyện tập","657","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson7,'}}"
"","","","","","","","","","Bài 8","Từ vựng","658","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson8,'}}"
"","","","","","","","","","Bài 8","Luyện tập","659","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson8,'}}"
"","","","","","","","","","Bài 9","Từ vựng","660","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson9,'}}"
"","","","","","","","","","Bài 9","Luyện tập","661","vocabulary/practice","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson9,'}}"
"","","","","","","","","","Bài 10","Từ vựng","662","vocabulary/lesson","vocabulary","{'level': 'N3', 'tag' : {'contains':',vocabulary3,lesson10,'}}"
