name,description,type,level,sort,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"","","","","","","","","","Bài 13","Luyện tập","26","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson13,'}}"
"","","","","","","","","","Bài 14","Từ vựng","27","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson14,'}}"
"","","","","","","","","","Bài 14","Luyện tập","28","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson14,'}}"
"","","","","","","","","","Bài 15","Từ vựng","29","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson15,'}}"
"","","","","","","","","","Bài 15","Luyện tập","30","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson15,'}}"
"","","","","","","","","","Bài 16","Từ vựng","31","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson16,'}}"
"","","","","","","","","","Bài 16","Luyện tập","32","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson16,'}}"
"","","","","","","","","","Bài 17","Từ vựng","33","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson17,'}}"
"","","","","","","","","","Bài 17","Luyện tập","34","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson17,'}}"
"","","","","","","","","","Bài 18","Từ vựng","35","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson18,'}}"
"","","","","","","","","","Bài 18","Luyện tập","36","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson18,'}}"
"","","","","","","","","","Bài 19","Từ vựng","37","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson19,'}}"
"","","","","","","","","","Bài 19","Luyện tập","38","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson19,'}}"
"","","","","","","","","","Bài 20","Từ vựng","39","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson20,'}}"
"","","","","","","","","","Bài 20","Luyện tập","40","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson20,'}}"
"","","","","","","","","","Bài 21","Từ vựng","41","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson21,'}}"
"","","","","","","","","","Bài 21","Luyện tập","42","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson21,'}}"
"","","","","","","","","","Bài 22","Từ vựng","43","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson22,'}}"
"","","","","","","","","","Bài 22","Luyện tập","44","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson22,'}}"
"","","","","","","","","","Bài 23","Từ vựng","45","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson23,'}}"
"","","","","","","","","","Bài 23","Luyện tập","46","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson23,'}}"
"","","","","","","","","","Bài 24","Từ vựng","47","vocabulary/lesson","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson24,'}}"
"","","","","","","","","","Bài 24","Luyện tập","48","vocabulary/practice","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson24,'}}"
