# Nam 1 tieu hoc
0845200,和
12225200,開
# Nam 4 tieu hoc
1342200,愛
10121200,案
0507200,以
06131200,衣
0705200,位
0754200,囲
09181200,胃
0639200,印
0890200,英
09106200,栄
1314200,塩
1501200,億
0521200,加
08150200,果
11213200,貨
1592200,課
0893200,芽
07121200,改
kai200,械
1043200,害
0642200,各
12200200,覚
0770200,完
0864200,官
1478200,管
14128200,関
1826200,観
1919200,願
0778200,希
0862200,季
09173200,紀
1215200,喜
1438200,旗
1507200,器
ki200,機
2008200,議
07133200,求
08170200,泣
11112200,救
12180200,給
10103200,挙
1453200,漁
0627200,共
0830200,協
1915200,鏡
2004200,競
12114200,極
10210200,訓
09201200,軍
1087200,郡
0887200,径
0931200,型
12101200,景
0788200,芸
0462200,欠
12181200,結
0956200,建
1104200,健
1842200,験
0846200,固
0522200,功
0661200,好
1003200,候
10203200,航
1146200,康
0748200,告
1054200,差
1164200,菜
12107200,最
07126200,材
0998200,昨
0574200,札
0823200,刷
10141200,殺
1413200,察
0836200,参
11156200,産
1297200,散
10138200,残
0319200,士
0466200,氏
0538200,史
0539200,司
13134200,試
0723200,児
08173200,治
13163200,辞
0551200,失
1005200,借
1473200,種
0842200,周
09164200,祝
12235200,順
0729200,初
08152200,松
10179200,笑
1118200,唱
12140200,焼
12209200,象
1388200,照
15106200,賞
jin200,臣
0907200,信
naru200,成
09157200,省
11142200,清
14133200,静
1058200,席
1644200,積
07112200,折
13112200,節
14109200,説
09133200,浅
1351200,戦
1525200,選
12145200,然
0641200,争
1007200,倉
1185200,巣
07129200,束
1106200,側
13115200,続
0832200,卒
1040200,孫
1057200,帯
1274200,隊
1264200,達
0979200,単
13111200,置
0617200,仲
12213200,貯
0626200,兆
13119200,腸
0716200,低
0879200,底
1107200,停
08189200,的
ten200,典
0618200,伝
1067200,徒
0734200,努
06109200,灯
1125200,堂
1307200,働
10154200,特
1158200,得
08166200,毒
1563200,熱
08113200,念
11114200,敗
10136200,梅
1213200,博
12238200,飯
tobu200,飛
12215200,費
kanarazu200,必
11166200,票
1551200,標
0403200,不
0442200,夫
0512200,付
0881200,府
1112200,副
10181200,粉
0725200,兵
0731200,別
0567200,辺
0933200,変
0911200,便
0523200,包
08180200,法
11121200,望
08188200,牧
0576200,末
12139200,満
0577200,未
10201200,脈
0580200,民
mu200,無
09177200,約
0919200,勇
09194200,要
14122200,養
10149200,浴
0732200,利
1177200,陸
07158200,良
10110200,料
12223200,量
15114200,輪
1840200,類
0513200,令
0728200,冷
0816200,例
1450200,歴
1080200,連
06118200,老
0736200,労
1672200,録
12194200,街
# Nam 5 tieu hoc
0546200,圧
11167200,移
0653200,因
0581200,永
1277200,営
1656200,衛
08140200,易
10165200,益
11130200,液
1452200,演
0799200,応
0886200,往
10122200,桜
1090200,恩
ka200,可
0608200,仮
0806200,価
08169200,河
1261200,過
12210200,賀
13129200,解
10123200,格
1567200,確
1836200,額
0520200,刊
1328200,幹
nare200,慣
11162200,眼
1123200,基
1134200,寄
11205200,規
07109200,技
13116200,義
0968200,逆
0309200,久
0572200,旧
0871200,居
11207200,許
1406200,境
0757200,均
13101200,禁
0535200,句
13117200,群
11180200,経
1556200,潔
0614200,件
0821200,券
1173200,険
12115200,検
0974200,限
11152200,現
12131200,減
0994200,故
1002200,個
2009200,護
0828200,効
0923200,厚
10194200,耕
13159200,鉱
kamaeru200,構
okosu200,興
1734200,講
11134200,混
09109200,査
0628200,再
07143200,災
0856200,妻
1199200,採
1428200,際
0657200,在
10214200,財
13109200,罪
14131200,雑
14119200,酸
15103200,賛
0454200,支
07101200,志
08151200,枝
1056200,師
